ID,1/20*0.90,1/200*0.9,Day,Exp,Sync
25,1000,410,7,CL102,7/19/2024
1,600,68,9,CL102,7/19/2024
2,206,20,9,CL102,7/19/2024
3,5,0,9,CL102,7/19/2024
4,53,0,9,CL102,7/19/2024
5,1000,363,9,CL102,7/19/2024
6,600,138,9,CL102,7/19/2024
7,445,74,9,CL102,7/19/2024
8,420,126,9,CL102,7/19/2024
9,359,72,9,CL102,7/19/2024
10,363,69,9,CL102,7/19/2024
11,1000,121,9,CL102,7/19/2024
12,246,32,9,CL102,7/19/2024
13,72,10,9,CL102,7/19/2024
14,370,75,9,CL102,7/19/2024
15,190,59,9,CL102,7/19/2024
16,>240,98,9,CL102,7/19/2024
17,4,2,9,CL102,7/19/2024
18,40,8,9,CL102,7/19/2024
19,1000,48,9,CL102,7/19/2024
20,400,159,9,CL102,7/19/2024
21,442,41,9,CL102,7/19/2024
22,650,139,9,CL102,7/19/2024
23,4,1,9,CL102,7/19/2024
24,1000,439,9,CL102,7/19/2024
25,1000,410,9,CL102,7/19/2024
1,0,0,1,CL103,7/29/2024
2,0,0,1,CL103,7/29/2024
3,600,142,1,CL103,7/29/2024
4,0,0,1,CL103,7/29/2024
5,3,0,1,CL103,7/29/2024
6,1,0,1,CL103,7/29/2024
7,1,0,1,CL103,7/29/2024
8,0,0,1,CL103,7/29/2024
9,0,0,1,CL103,7/29/2024
10,600,82,1,CL103,7/29/2024
11,1,0,1,CL103,7/29/2024
12,1,0,1,CL103,7/29/2024
13,5,0,1,CL103,7/29/2024
14,65,9,1,CL103,7/29/2024
15,0,0,1,CL103,7/29/2024
16,0,0,1,CL103,7/29/2024
17,1,1,1,CL103,7/29/2024
18,0,0,1,CL103,7/29/2024
19,0,0,1,CL103,7/29/2024
20,2,1,1,CL103,7/29/2024
21,4,0,1,CL103,7/29/2024
22,6,1,1,CL103,7/29/2024
23,0,0,1,CL103,7/29/2024
24,1,0,1,CL103,7/29/2024
25,0,0,1,CL103,7/29/2024
1,1,0,3,CL103,7/29/2024
2,0,0,3,CL103,7/29/2024
3,1,0,3,CL103,7/29/2024
4,0,0,3,CL103,7/29/2024
5,0,0,3,CL103,7/29/2024
6,0,0,3,CL103,7/29/2024
7,0,0,3,CL103,7/29/2024
8,0,0,3,CL103,7/29/2024
9,0,0,3,CL103,7/29/2024
10,0,0,3,CL103,7/29/2024
11,0,0,3,CL103,7/29/2024
12,0,0,3,CL103,7/29/2024
13,0,0,3,CL103,7/29/2024
14,0,0,3,CL103,7/29/2024
15,1,0,3,CL103,7/29/2024
16,54,3,3,CL103,7/29/2024
17,1,0,3,CL103,7/29/2024
18,0,0,3,CL103,7/29/2024
19,0,0,3,CL103,7/29/2024
20,0,0,3,CL103,7/29/2024
21,0,0,3,CL103,7/29/2024
22,0,0,3,CL103,7/29/2024
23,2000,600,3,CL103,7/29/2024
24,15,1,3,CL103,7/29/2024
25,3,0,3,CL103,7/29/2024
1,2,0,5,CL103,7/29/2024
2,4,0,5,CL103,7/29/2024
3,3,0,5,CL103,7/29/2024
4,600,110,5,CL103,7/29/2024
5,11,1,5,CL103,7/29/2024
6,10,0,5,CL103,7/29/2024
7,7,0,5,CL103,7/29/2024
8,26,5,5,CL103,7/29/2024
9,500,116,5,CL103,7/29/2024
10,1,0,5,CL103,7/29/2024
11,29,2,5,CL103,7/29/2024
12,600,140,5,CL103,7/29/2024
13,89,6,5,CL103,7/29/2024
14,140,13,5,CL103,7/29/2024
15,600,126,5,CL103,7/29/2024
16,2,2,5,CL103,7/29/2024
17,3,0,5,CL103,7/29/2024
18,6,0,5,CL103,7/29/2024
19,1,0,5,CL103,7/29/2024
20,60,14,5,CL103,7/29/2024
21,1,0,5,CL103,7/29/2024
22,5,0,5,CL103,7/29/2024
23,37,1,5,CL103,7/29/2024
24,600,148,5,CL103,7/29/2024
25,288,21,5,CL103,7/29/2024
1,2,0,7,CL103,7/29/2024
2,1000,158,7,CL103,7/29/2024
3,400,48,7,CL103,7/29/2024
4,500,172,7,CL103,7/29/2024
5,5,2,7,CL103,7/29/2024
6,9,1,7,CL103,7/29/2024
7,600,67,7,CL103,7/29/2024
8,600,95,7,CL103,7/29/2024
9,600,82,7,CL103,7/29/2024
10,400,43,7,CL103,7/29/2024
11,400,53,7,CL103,7/29/2024
12,1,0,7,CL103,7/29/2024
13,16,3,7,CL103,7/29/2024
14,14,4,7,CL103,7/29/2024
15,600,171,7,CL103,7/29/2024
16,1,0,7,CL103,7/29/2024
17,225,40,7,CL103,7/29/2024
18,228,27,7,CL103,7/29/2024
19,5,0,7,CL103,7/29/2024
20,290,44,7,CL103,7/29/2024
21,400,148,7,CL103,7/29/2024
22,350,63,7,CL103,7/29/2024
23,500,55,7,CL103,7/29/2024
24,164,20,7,CL103,7/29/2024
25,7,1,7,CL103,7/29/2024
1,24,3,9,CL103,7/29/2024
2,500,111,9,CL103,7/29/2024
3,1000,260,9,CL103,7/29/2024
4,350,39,9,CL103,7/29/2024
5,220,17,9,CL103,7/29/2024
6,3,2,9,CL103,7/29/2024
7,,175,9,CL103,7/29/2024
8,,50,9,CL103,7/29/2024
9,,116,9,CL103,7/29/2024
10,,73,9,CL103,7/29/2024
11,,59,9,CL103,7/29/2024
12,10,1,9,CL103,7/29/2024
13,,61,9,CL103,7/29/2024
14,,160,9,CL103,7/29/2024
15,,179,9,CL103,7/29/2024
16,,525,9,CL103,7/29/2024
17,,570,9,CL103,7/29/2024
18,,600,9,CL103,7/29/2024
19,124,11,9,CL103,7/29/2024
20,152,41,9,CL103,7/29/2024
21,7,2,9,CL103,7/29/2024
22,1,0,9,CL103,7/29/2024
23,,67,9,CL103,7/29/2024
24,,600,9,CL103,7/29/2024
25,,435,9,CL103,7/29/2024
